∀	for all 	universal quantifier	2200
⊥	up tack 	base, bottom	22a5
⊦	assertion 	reduces to	22a6
⊧	models 	u+22a7	22a7
⊨	true 	statement is true, valid , is a tautology , satisfies , results in	22a8
⊩	forces 	u+22a9	22a9
⊪	triple vertical bar right turnstile 	u+22aa	22aa
⊫	double vertical bar double right turnstile 	u+22ab	22ab
⊬	does not prove 	u+22ac	22ac
⊭	not true 	u+22ad	22ad
⊮	does not force 	u+22ae	22ae
⊯	negated double vertical bar double right turnstile 	u+22af	22af
⊰	precedes under relation 	u+22b0	22b0
⊱	succeeds under relation 	u+22b1	22b1
⊲	normal subgroup of 	u+22b2	22b2
⊳	contains as normal subgroup 	u+22b3	22b3
⊴	normal subgroup of or equal to 	u+22b4	22b4
⊵	contains as normal subgroup or equal to 	u+22b5	22b5
⊶	original of 	u+22b6	22b6
⊷	image of 	u+22b7	22b7
⊸	multimap 	u+22b8	22b8
⊹	hermitian conjugate matrix 	u+22b9	22b9
⊺	intercalate 	u+22ba	22ba
⊻	xor 	u+22bb	22bb
⊼	nand 	u+22bc	22bc
⊽	nor 	u+22bd	22bd
⊾	right angle with arc 	u+22be	22be
⊿	right triangle 	u+22bf	22bf
⋀	n-ary logical and 	u+22c0	22c0
⋁	n-ary logical or 	u+22c1	22c1
⋂	n-ary intersection 	z notation generalised intersection	22c2
⋃	n-ary union 	z notation generalised union	22c3
⋄	diamond operator 	u+22c4	22c4
⋅	dot operator 	u+22c5	22c5
⋆	star operator 	u+22c6	22c6
⋇	division times 	u+22c7	22c7
⋈	bowtie 	u+22c8	22c8
⋉	left normal factor semidirect product 	u+22c9	22c9
⋊	right normal factor semidirect product 	u+22ca	22ca
⋋	left semidirect product 	u+22cb	22cb
⋌	right semidirect product 	u+22cc	22cc
⋍	reversed tilde equals 	u+22cd	22cd
⋎	curly logical or 	u+22ce	22ce
⋏	curly logical and 	u+22cf	22cf
⋐	double subset 	u+22d0	22d0
⋑	double superset 	u+22d1	22d1
⋒	double intersection 	u+22d2	22d2
⋓	double union 	u+22d3	22d3
⋔	pitchfork 	proper intersection	22d4
⋕	equal and parallel to 	u+22d5	22d5
⋖	less-than with dot 	u+22d6	22d6
⋗	greater-than with dot 	u+22d7	22d7
⋘	very much less-than 	u+22d8	22d8
⋙	very much greater-than 	u+22d9	22d9
⋚	less-than equal to or greater-than 	u+22da	22da
⋛	greater-than equal to or less-than 	u+22db	22db
⋜	equal to or less-than 	u+22dc	22dc
⋝	equal to or greater-than 	u+22dd	22dd
⋞	equal to or precedes 	u+22de	22de
⋟	equal to or succeeds 	u+22df	22df
⋠	does not precede or equal 	u+22e0	22e0
⋡	does not succeed or equal 	u+22e1	22e1
⋢	not square image of or equal to 	u+22e2	22e2
⋣	not square original of or equal to 	u+22e3	22e3
⋤	square image of or not equal to 	u+22e4	22e4
⋥	square original of or not equal to 	u+22e5	22e5
⋦	less-than but not equivalent to 	u+22e6	22e6
⋧	greater-than but not equivalent to 	u+22e7	22e7
⋨	precedes but not equivalent to 	u+22e8	22e8
⋩	succeeds but not equivalent to 	u+22e9	22e9
⋪	not normal subgroup of 	u+22ea	22ea
⋫	does not contain as normal subgroup 	u+22eb	22eb
⋬	not normal subgroup of or equal to 	u+22ec	22ec
⋭	does not contain as normal subgroup or equal 	u+22ed	22ed
⋮	vertical ellipsis 	u+22ee	22ee
⋯	midline horizontal ellipsis 	u+22ef	22ef
⋰	up right diagonal ellipsis 	u+22f0	22f0
⋱	down right diagonal ellipsis 	u+22f1	22f1
⋲	element of with long horizontal stroke 	u+22f2	22f2
⋳	element of with vertical bar at end of horizontal stroke 	u+22f3	22f3
⋴	small element of with vertical bar at end of horizontal stroke 	u+22f4	22f4
⋵	element of with dot above 	u+22f5	22f5
⋶	element of with overbar 	u+22f6	22f6
⋷	small element of with overbar 	u+22f7	22f7
⋸	element of with underbar 	u+22f8	22f8
⋹	element of with two horizontal strokes 	u+22f9	22f9
⋺	contains with long horizontal stroke 	u+22fa	22fa
⋻	contains with vertical bar at end of horizontal stroke 	u+22fb	22fb
⋼	small contains with vertical bar at end of horizontal stroke 	u+22fc	22fc
⋽	contains with overbar 	u+22fd	22fd
⋾	small contains with overbar 	u+22fe	22fe
⋿	z notation bag membership 	u+22ff	22ff
