┮ box drawings right heavy and left down light 	u+252e	252e
┯ box drawings down light and horizontal heavy 	videotex mosaic dg 02	252f
┰ box drawings down heavy and horizontal light 	u+2530	2530
┱ box drawings right light and left down heavy 	u+2531	2531
┲ box drawings left light and right down heavy 	u+2532	2532
┳ box drawings heavy down and horizontal 	u+2533	2533
┴ box drawings light up and horizontal 	videotex mosaic dg 23	2534
┵ box drawings left heavy and right up light 	u+2535	2535
┶ box drawings right heavy and left up light 	u+2536	2536
┷ box drawings up light and horizontal heavy 	videotex mosaic dg 01	2537
┸ box drawings up heavy and horizontal light 	u+2538	2538
┹ box drawings right light and left up heavy 	u+2539	2539
┺ box drawings left light and right up heavy 	u+253a	253a
┻ box drawings heavy up and horizontal 	u+253b	253b
┼ box drawings light vertical and horizontal 	videotex mosaic dg 24	253c
┽ box drawings left heavy and right vertical light 	u+253d	253d
┾ box drawings right heavy and left vertical light 	u+253e	253e
┿ box drawings vertical light and horizontal heavy 	videotex mosaic dg 13	253f
╀ box drawings up heavy and down horizontal light 	u+2540	2540
╁ box drawings down heavy and up horizontal light 	u+2541	2541
╂ box drawings vertical heavy and horizontal light 	u+2542	2542
╃ box drawings left up heavy and right down light 	u+2543	2543
╄ box drawings right up heavy and left down light 	u+2544	2544
╅ box drawings left down heavy and right up light 	u+2545	2545
╆ box drawings right down heavy and left up light 	u+2546	2546
╇ box drawings down light and up horizontal heavy 	u+2547	2547
╈ box drawings up light and down horizontal heavy 	u+2548	2548
╉ box drawings right light and left vertical heavy 	u+2549	2549
╊ box drawings left light and right vertical heavy 	u+254a	254a
╋ box drawings heavy vertical and horizontal 	u+254b	254b
╌ box drawings light double dash horizontal 	u+254c	254c
╍ box drawings heavy double dash horizontal 	u+254d	254d
╎ box drawings light double dash vertical 	u+254e	254e
╏ box drawings heavy double dash vertical 	u+254f	254f
═ box drawings double horizontal 	u+2550	2550
║ box drawings double vertical 	u+2551	2551
╒ box drawings down single and right double 	u+2552	2552
╓ box drawings down double and right single 	u+2553	2553
╔ box drawings double down and right 	u+2554	2554
╕ box drawings down single and left double 	u+2555	2555
╖ box drawings down double and left single 	u+2556	2556
╗ box drawings double down and left 	u+2557	2557
╘ box drawings up single and right double 	u+2558	2558
╙ box drawings up double and right single 	u+2559	2559
╚ box drawings double up and right 	u+255a	255a
╛ box drawings up single and left double 	u+255b	255b
╜ box drawings up double and left single 	u+255c	255c
╝ box drawings double up and left 	u+255d	255d
╞ box drawings vertical single and right double 	u+255e	255e
╟ box drawings vertical double and right single 	u+255f	255f
╠ box drawings double vertical and right 	u+2560	2560
╡ box drawings vertical single and left double 	u+2561	2561
