⛗	white two-way left way traffic 	u+26d7	26d7
⛘	black left lane merge 	u+26d8	26d8
⛙	white left lane merge 	u+26d9	26d9
⛚	drive slow sign 	u+26da	26da
⛛	heavy white down-pointing triangle 	drive slow	26db
⛜	left closed entry 	u+26dc	26dc
⛝	squared saltire 	closed entry	26dd
⛞	falling diagonal in white circle in black square 	closed to large vehicles	26de
⛟	black truck 	black lorry, closed to large vehicles, alternate	26df
⛠	restricted left entry-1 	u+26e0	26e0
⛡	restricted left entry-2 	u+26e1	26e1
⛢	astronomical symbol for uranus 	u+26e2	26e2
⛣	heavy circle with stroke and two dots above 	public office	26e3
⛤	pentagram 	pentalpha, pentangle	26e4
⛥	right-handed interlaced pentagram 	u+26e5	26e5
⛦	left-handed interlaced pentagram 	u+26e6	26e6
⛧	inverted pentagram 	u+26e7	26e7
⛨	black cross on shield 	hospital	26e8
⛩	shinto shrine emoji	torii, kami-no-michi	26e9
⛪	church emoji	church building, cross	26ea
⛫	castle 	u+26eb	26eb
⛬	historic site 	u+26ec	26ec
⛭	gear without hub 	factory	26ed
⛮	gear with handles 	power plant, power substation	26ee
⛯	map symbol for lighthouse 	u+26ef	26ef
⛰	mountain emoji	rock	26f0
⛱	umbrella on ground emoji	bathing beach	26f1
⛲	fountain emoji	park, water feature, water fountain	26f2
⛳	flag in hole emoji	golf course, golf, golf flag	26f3
⛴	ferry emoji	ferry boat terminal	26f4
⛵	sailboat emoji	marina or yacht harbour, dinghy, yacht	26f5
⛶	square four corners 	intersection	26f6
⛷	skier emoji	ski resort	26f7
⛸	ice skate emoji	ice skating rink	26f8
⛹	person with ball emoji	track and field, gymnasium, basketball	26f9
⛺	tent emoji	camping site, camping tent	26fa
⛻	japanese bank symbol 	u+26fb	26fb
⛼	headstone graveyard symbol 	graveyard, memorial park, cemetery	26fc
⛽	fuel pump emoji	petrol station, gas station, gas pump, petrol pump	26fd
⛾	cup on black square 	drive-in restaurant	26fe
⛿	white flag with horizontal middle black stripe 	japanese self-defence force site	26ff
