⨀	n-ary circled dot operator 	u+2a00	2a00
⪀	greater-than or slanted equal to with dot inside 	u+2a80	2a80
⪁	less-than or slanted equal to with dot above 	u+2a81	2a81
⪂	greater-than or slanted equal to with dot above 	u+2a82	2a82
⪃	less-than or slanted equal to with dot above right 	u+2a83	2a83
⪄	greater-than or slanted equal to with dot above left 	u+2a84	2a84
⪅	less-than or approximate 	u+2a85	2a85
⪆	greater-than or approximate 	u+2a86	2a86
⪇	less-than and single-line not equal to 	u+2a87	2a87
⪈	greater-than and single-line not equal to 	u+2a88	2a88
⪉	less-than and not approximate 	u+2a89	2a89
⪊	greater-than and not approximate 	u+2a8a	2a8a
⪋	less-than above double-line equal above greater-than 	u+2a8b	2a8b
⪌	greater-than above double-line equal above less-than 	u+2a8c	2a8c
⪍	less-than above similar or equal 	u+2a8d	2a8d
⪎	greater-than above similar or equal 	u+2a8e	2a8e
⪏	less-than above similar above greater-than 	u+2a8f	2a8f
⪐	greater-than above similar above less-than 	u+2a90	2a90
⪑	less-than above greater-than above double-line equal 	u+2a91	2a91
⪒	greater-than above less-than above double-line equal 	u+2a92	2a92
⪓	less-than above slanted equal above greater-than above slanted equal 	u+2a93	2a93
⪔	greater-than above slanted equal above less-than above slanted equal 	u+2a94	2a94
⪕	slanted equal to or less-than 	u+2a95	2a95
⪖	slanted equal to or greater-than 	u+2a96	2a96
⪗	slanted equal to or less-than with dot inside 	u+2a97	2a97
⪘	slanted equal to or greater-than with dot inside 	u+2a98	2a98
⪙	double-line equal to or less-than 	u+2a99	2a99
⪚	double-line equal to or greater-than 	u+2a9a	2a9a
⪛	double-line slanted equal to or less-than 	u+2a9b	2a9b
⪜	double-line slanted equal to or greater-than 	u+2a9c	2a9c
⪝	similar or less-than 	u+2a9d	2a9d
⪞	similar or greater-than 	u+2a9e	2a9e
⪟	similar above less-than above equals sign 	u+2a9f	2a9f
⪠	similar above greater-than above equals sign 	u+2aa0	2aa0
⪡	double nested less-than 	absolute continuity	2aa1
⪢	double nested greater-than 	u+2aa2	2aa2
⪣	double nested less-than with underbar 	u+2aa3	2aa3
⪤	greater-than overlapping less-than 	u+2aa4	2aa4
⪥	greater-than beside less-than 	u+2aa5	2aa5
⪦	less-than closed by curve 	u+2aa6	2aa6
⪧	greater-than closed by curve 	u+2aa7	2aa7
⪨	less-than closed by curve above slanted equal 	u+2aa8	2aa8
⪩	greater-than closed by curve above slanted equal 	u+2aa9	2aa9
⪪	smaller than 	u+2aaa	2aaa
⪫	larger than 	u+2aab	2aab
⪬	smaller than or equal to 	u+2aac	2aac
⪭	larger than or equal to 	u+2aad	2aad
⪮	equals sign with bumpy above 	u+2aae	2aae
⪯	precedes above single-line equals sign 	u+2aaf	2aaf
⪰	succeeds above single-line equals sign 	u+2ab0	2ab0
⪱	precedes above single-line not equal to 	u+2ab1	2ab1
⪲	succeeds above single-line not equal to 	u+2ab2	2ab2
⪳	precedes above equals sign 	u+2ab3	2ab3
⪴	succeeds above equals sign 	u+2ab4	2ab4
⪵	precedes above not equal to 	u+2ab5	2ab5
⪶	succeeds above not equal to 	u+2ab6	2ab6
⪷	precedes above almost equal to 	u+2ab7	2ab7
⪸	succeeds above almost equal to 	u+2ab8	2ab8
⪹	precedes above not almost equal to 	u+2ab9	2ab9
⪺	succeeds above not almost equal to 	u+2aba	2aba
⪻	double precedes 	u+2abb	2abb
⪼	double succeeds 	u+2abc	2abc
⪽	subset with dot 	u+2abd	2abd
⪾	superset with dot 	u+2abe	2abe
⪿	subset with plus sign below 	u+2abf	2abf
⫀	superset with plus sign below 	u+2ac0	2ac0
⫁	subset with multiplication sign below 	u+2ac1	2ac1
⫂	superset with multiplication sign below 	u+2ac2	2ac2
⫃	subset of or equal to with dot above 	u+2ac3	2ac3
⫄	superset of or equal to with dot above 	u+2ac4	2ac4
⫅	subset of above equals sign 	u+2ac5	2ac5
⫆	superset of above equals sign 	u+2ac6	2ac6
⫇	subset of above tilde operator 	u+2ac7	2ac7
⫈	superset of above tilde operator 	u+2ac8	2ac8
⫉	subset of above almost equal to 	u+2ac9	2ac9
⫊	superset of above almost equal to 	u+2aca	2aca
⫋	subset of above not equal to 	u+2acb	2acb
⫌	superset of above not equal to 	u+2acc	2acc
⫍	square left open box operator 	u+2acd	2acd
⫎	square right open box operator 	u+2ace	2ace
⫏	closed subset 	u+2acf	2acf
⫐	closed superset 	u+2ad0	2ad0
⫑	closed subset or equal to 	u+2ad1	2ad1
⫒	closed superset or equal to 	u+2ad2	2ad2
⫓	subset above superset 	u+2ad3	2ad3
⫔	superset above subset 	u+2ad4	2ad4
⫕	subset above subset 	u+2ad5	2ad5
⫖	superset above superset 	u+2ad6	2ad6
⫗	superset beside subset 	u+2ad7	2ad7
⫘	superset beside and joined by dash with subset 	u+2ad8	2ad8
⫙	element of opening downwards 	u+2ad9	2ad9
⫚	pitchfork with tee top 	u+2ada	2ada
⫛	transversal intersection 	u+2adb	2adb
⫝̸	forking 	not independent	2adc
⫝	nonforking 	independent	2add
⫞	short left tack 	u+2ade	2ade
⫟	short down tack 	u+2adf	2adf
⫠	short up tack 	u+2ae0	2ae0
⫡	perpendicular with s 	u+2ae1	2ae1
⫢	vertical bar triple right turnstile 	ordinarily satisfies	2ae2
⫣	double vertical bar left turnstile 	u+2ae3	2ae3
⫤	vertical bar double left turnstile 	u+2ae4	2ae4
⫥	double vertical bar double left turnstile 	u+2ae5	2ae5
⫦	long dash from left member of double vertical 	u+2ae6	2ae6
⫧	short down tack with overbar 	u+2ae7	2ae7
⫨	short up tack with underbar 	u+2ae8	2ae8
⫩	short up tack above short down tack 	u+2ae9	2ae9
⫪	double down tack 	u+2aea	2aea
⫫	double up tack 	independence	2aeb
⫬	double stroke not sign 	u+2aec	2aec
⫭	reversed double stroke not sign 	u+2aed	2aed
⫮	does not divide with reversed negation slash 	u+2aee	2aee
⫯	vertical line with circle above 	u+2aef	2aef
⫰	vertical line with circle below 	u+2af0	2af0
⫱	down tack with circle below 	necessarily satisfies	2af1
⫲	parallel with horizontal stroke 	u+2af2	2af2
⫳	parallel with tilde operator 	u+2af3	2af3
⫴	triple vertical bar binary relation 	interleave	2af4
⫵	triple vertical bar with horizontal stroke 	u+2af5	2af5
⫶	triple colon operator 	u+2af6	2af6
⫷	triple nested less-than 	u+2af7	2af7
⫸	triple nested greater-than 	u+2af8	2af8
⫹	double-line slanted less-than or equal to 	u+2af9	2af9
⫺	double-line slanted greater-than or equal to 	u+2afa	2afa
⫻	triple solidus binary relation 	u+2afb	2afb
⫼	large triple vertical bar operator 	u+2afc	2afc
⫽	double solidus operator 	u+2afd	2afd
⫾	white vertical bar 	dijkstra choice	2afe
⫿	n-ary white vertical bar 	n-ary dijkstra choice	2aff
