𝑸	mathematical bold italic capital q 	u+1d478	1d478
𝑹	mathematical bold italic capital r 	u+1d479	1d479
𝑺	mathematical bold italic capital s 	u+1d47a	1d47a
𝑻	mathematical bold italic capital t 	u+1d47b	1d47b
𝑼	mathematical bold italic capital u 	u+1d47c	1d47c
𝑽	mathematical bold italic capital v 	u+1d47d	1d47d
𝑾	mathematical bold italic capital w 	u+1d47e	1d47e
𝑿	mathematical bold italic capital x 	u+1d47f	1d47f
𝒀	mathematical bold italic capital y 	u+1d480	1d480
𝒁	mathematical bold italic capital z 	u+1d481	1d481
𝒂	mathematical bold italic small a 	u+1d482	1d482
𝒃	mathematical bold italic small b 	u+1d483	1d483
𝒄	mathematical bold italic small c 	u+1d484	1d484
𝒅	mathematical bold italic small d 	u+1d485	1d485
𝒆	mathematical bold italic small e 	u+1d486	1d486
𝒇	mathematical bold italic small f 	u+1d487	1d487
𝒈	mathematical bold italic small g 	u+1d488	1d488
𝒉	mathematical bold italic small h 	u+1d489	1d489
𝒊	mathematical bold italic small i 	u+1d48a	1d48a
𝒋	mathematical bold italic small j 	u+1d48b	1d48b
𝒌	mathematical bold italic small k 	u+1d48c	1d48c
𝒍	mathematical bold italic small l 	u+1d48d	1d48d
𝒎	mathematical bold italic small m 	u+1d48e	1d48e
𝒏	mathematical bold italic small n 	u+1d48f	1d48f
𝒐	mathematical bold italic small o 	u+1d490	1d490
𝒑	mathematical bold italic small p 	u+1d491	1d491
𝒒	mathematical bold italic small q 	u+1d492	1d492
𝒓	mathematical bold italic small r 	u+1d493	1d493
𝒔	mathematical bold italic small s 	u+1d494	1d494
𝒕	mathematical bold italic small t 	u+1d495	1d495
𝒖	mathematical bold italic small u 	u+1d496	1d496
𝒗	mathematical bold italic small v 	u+1d497	1d497
𝒘	mathematical bold italic small w 	u+1d498	1d498
𝒙	mathematical bold italic small x 	u+1d499	1d499
𝒚	mathematical bold italic small y 	u+1d49a	1d49a
𝒛	mathematical bold italic small z 	u+1d49b	1d49b
𝒜	mathematical script capital a 	u+1d49c	1d49c
𝒝	defined in unicode	u+1d49d	1d49d
𝒞	mathematical script capital c 	u+1d49e	1d49e
𝒟	mathematical script capital d 	u+1d49f	1d49f
𝒠	defined in unicode	u+1d4a0	1d4a0
𝒡	defined in unicode	u+1d4a1	1d4a1
𝒢	mathematical script capital g 	u+1d4a2	1d4a2
𝒣	defined in unicode	u+1d4a3	1d4a3
𝒤	defined in unicode	u+1d4a4	1d4a4
𝒥	mathematical script capital j 	u+1d4a5	1d4a5
𝒦	mathematical script capital k 	u+1d4a6	1d4a6
𝒧	defined in unicode	u+1d4a7	1d4a7
𝒨	defined in unicode	u+1d4a8	1d4a8
𝒩	mathematical script capital n 	u+1d4a9	1d4a9
𝒪	mathematical script capital o 	u+1d4aa	1d4aa
𝒫	mathematical script capital p 	power set	1d4ab
𝒬	mathematical script capital q 	u+1d4ac	1d4ac
𝒭	defined in unicode	u+1d4ad	1d4ad
𝒮	mathematical script capital s 	u+1d4ae	1d4ae
𝒯	mathematical script capital t 	u+1d4af	1d4af
𝒰	mathematical script capital u 	u+1d4b0	1d4b0
𝒱	mathematical script capital v 	u+1d4b1	1d4b1
𝒲	mathematical script capital w 	u+1d4b2	1d4b2
𝒳	mathematical script capital x 	u+1d4b3	1d4b3
𝒴	mathematical script capital y 	u+1d4b4	1d4b4
𝒵	mathematical script capital z 	u+1d4b5	1d4b5
𝒶	mathematical script small a 	u+1d4b6	1d4b6
𝒷	mathematical script small b 	u+1d4b7	1d4b7
𝒸	mathematical script small c 	u+1d4b8	1d4b8
𝒹	mathematical script small d 	u+1d4b9	1d4b9
𝒺	defined in unicode	u+1d4ba	1d4ba
𝒻	mathematical script small f 	u+1d4bb	1d4bb
𝒼	defined in unicode	u+1d4bc	1d4bc
𝒽	mathematical script small h 	u+1d4bd	1d4bd
